fips,abbr,county,pct_pov_2014,With_a_computer,With_broadbrand_Internet,OVER_60,food_insecurity,No_Health_Insurance_Youth,avg_income,child_poverty ,free_lunch,in_fostercare_per100k,8th grade math ,third grade reading ,highschool dropout,broadband
40001,OK,Adair County,10.3,72.2100091,49.5538601,21.21828788,28.5421296,1108,31997,40.5,81.7,8.95724,0.25,0.2963,0.273,Ê94.5%
40003,OK,Alfalfa County,16.6,86.3101604,76.4171123,25.268909,19.6413322,73,50190,19.4,49.9,16.99235,0.40667,0.3986,0.019,Ê66.3%
40005,OK,Atoka County,21.8,80.9235428,68.2816048,25.20542021,24.5849298,536,34973,29.4,70.7,8.18125,0.342,0.466,0.124,Ê30.0%
40007,OK,Beaver County,10.5,84.7285642,77.6255708,25.52169898,17.831669,102,55279,15.3,52.4,5.68586,0.16,0.37,0.032,Ê82.7%
40009,OK,Beckham County,15,88.8229084,77.4742676,19.69851023,19.0361859,612,49578,20.7,52.5,22.93333,0.2225,0.4273,0.212,Ê75.2%
40011,OK,Blaine County,10.6,84.7101077,70.8568497,24.21631721,20.8816705,172,41276,26,71.2,45.01731,0.165,0.3036,0.076,Ê70.6%
40013,OK,Bryan County,11.9,87.1384687,72.1034023,23.61721191,22.2580034,1236,36601,27.6,70.1,15.24305,0.24375,0.3522,0.126,Ê79.5%
40015,OK,Caddo County,23.5,83.3236434,68.6434109,22.3093177,23.3996772,1116,37298,29.6,72.2,12.97154,0.201,0.3987,0.122,Ê66.1%
40017,OK,Canadian County,7.7,93.1724046,86.7166971,18.008924,17.6163735,2151,63889,10.8,39.7,10.18732,0.326,0.4369,0.117,Ê95.6%
40019,OK,Carter County,23.9,86.3296799,66.4921751,22.29475685,21.8184768,1077,43030,23.5,66.8,13.65743,0.1675,0.3336,0.146,Ê74.3%
40021,OK,Cherokee County,18.6,81.2481248,69.3069307,21.31319574,24.6958089,2004,36643,32.6,75.7,6.65027,0.204,0.2805,0.142,Ê93.7%
40023,OK,Choctaw County,25,76.6370792,63.1217551,27.05898159,29.3875309,875,30972,40.2,82.4,14.65201,0.11,0.3438,0.117,Ê16.3%
40025,OK,Cimarron County,18,82.4974411,63.4595701,31.79534034,18.5185185,70,39617,28.7,69.5,1.90476,0.07,0.11,0.003,Ê76.4%
40027,OK,Cleveland County,16.6,94.0426855,87.5259014,17.77525629,18.627628,3222,54865,15.3,47.4,7.67255,0.29,0.3987,0.105,Ê99.0%
40029,OK,Coal County,20.9,76.3358779,64.3466547,27.34069064,24.911032,394,35538,26.8,75.3,12.12121,0.465,0.37,0.141,Ê45.8%
40031,OK,Comanche County,11.4,90.7543999,84.3144578,17.12616575,21.9654348,2053,42733,28.5,59.2,12.48593,0.20909,0.3334,0.072,Ê82.8%
40033,OK,Cotton County,17.8,84.3280182,74.4419134,26.02462473,19.4244604,99,40608,23.5,59.9,22.02643,0.12,0.2786,0.044,Ê79.1%
40035,OK,Craig County,19.2,81.9992623,68.9966802,25.59856482,23.2126277,485,36932,27.9,68.2,6.76299,0.18,0.2925,0.089,Ê78.7%
40037,OK,Creek County,15.8,86.0710637,78.9419911,23.66357504,22.9403202,1106,44608,21.2,67.5,9.22412,0.27615,0.3121,0.106,Ê78.3%
40039,OK,Custer County,14.9,90.9790669,79.7146344,18.98729844,19.1512813,995,47399,18.6,64.7,12.18177,0.3175,0.462,0.098,Ê42.1%
40041,OK,Delaware County,22.2,84.9572854,68.9587192,31.91964286,24.7915001,1193,36225,35,72.8,5.7377,0.2025,0.3265,0.211,Ê92.1%
40043,OK,Dewey County,12.4,89.1651865,76.6725873,24.88816592,23.6280488,153,49308,17.9,50.6,8.79297,0.06,0.4586,0.068,Ê24.1%
40045,OK,Ellis County,13,84.2627014,68.4634449,28.11886051,21.6271885,35,49804,17.2,50.3,3.125,0.35,0.5567,0.054,Ê59.1%
40047,OK,Garfield County,10.2,87.9741727,78.229472,21.24618106,20.1391883,763,47961,20.5,66.3,13.29212,0.241,0.3253,0.063,Ê5.4%
